cardId,name,cardType,rarity,cost,color,bp,assist,colorRestriction,trait,series,effect,flavor,illustrator,imageUrl
BT1-105,完全変態個体 レトゥ,ユニット,R,9,緑,10000,-,緑2,メテオラス/フェアリー,次元の来訪者,≪ゲージブレイク≫（このユニットが相手のゲージを減らすとき、2枚減らす）,蛹を経て再誕したフェアリー族の一人。変態を遂げてしまった個体は強大な力と高度な知性を得ると同時に他者を見下すようになる。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/a21931bc-48d2-4100-895e-358e196de9b1/R_unitBT1-105.png
BT1-104,オロチ,ユニット,RRR,8,緑,8000,-,緑5,オロチ/CNP,次元の来訪者,≪ゲージブレイク≫（このユニットが相手のゲージを減らすとき、2枚減らす） 【お互いのターン】自分のユニット全てをBP+1000。,聡明で面倒見が良く、仲間を献身的にサポートする白蛇のオロチ。我慢強いものの、怒ると毒の牙で攻撃する。,コメスケ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/975b2809-3597-442c-a9c9-d3d38e93cbbf/RRR_unitBT1-104.png
BT1-103,ユウギリ,ユニット,R,6,緑,5000,1000,緑1,セイドウ/ユウギリ,次元の来訪者,【お互いのターン】特徴に「セイドウ」を持つ自分のユニット全てをBP+1000。,テンシュの部下。メテオラスを侵略するために動いているはずだが、まだ神器の力は使っていない。,コメスケ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/65b9a515-1e07-48e3-8c8a-1e60f12fb58e/R_unitBT1-103.png
BT1-102,ベヒーモス,ユニット,C,6,緑,7000,1000,緑1,メテオラス/アニマル,次元の来訪者,,獰猛で食欲旺盛で羽が生えたカバ。 ウッドレイスも含めてあらゆる植物を食らいつくす。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/83759ed2-70fe-4e51-8f5b-90adf6e10d70/C_unitBT1-102.png
BT1-101,フウジン,ユニット,RR,6,緑,6000,1000,緑3,ヤーマ/CNP,次元の来訪者,【登場時】コスト5以下の制圧中の相手のユニット全てをユニットエリアに移動させる。,風神に変化したヤーマは、たちまち強風を巻き起こし、敵を追い払う。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/42070615-39ad-422d-8ec1-bb267b8cce9a/RR_unitBT1-101.png
BT1-100,ダイアモンド,ユニット,RR,6,緑,6000,1000,緑4,オロチ/CNP,次元の来訪者,【登場時】≪レイキ追加1≫（自分のレイキデッキの上から1枚をレイキエリアに置く）,白蛇のオロチがダイアモンドに変化した姿。その最強クラスの硬度で、攻撃にも防御にも活躍する。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/b27cd6ed-e074-4529-8a4e-c95049ee287e/RR_unitBT1-100.png
BT1-99,レギオオカミ,ユニット,C,5,緑,6000,1000,緑1,メテオラス/アニマル,次元の来訪者,,オロチとヤーマが目にしたのは、動物たちの根城となった数多の廃墟だった。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/df6aa081-1cbe-4c20-aab9-a781087afd17/C_unitBT1-099.png
BT1-98,長樹のウッドレイス ギスクヤ,ユニット,C,4,緑,4000,1000,緑2,メテオラス/ウッドレイス,次元の来訪者,【登場時】制圧中の自分のユニット1体をユニットエリアに移動できる。,ウッドレイスのご意見番的存在。余りにも多種多様なウッドレイスは悩みも多種多様であり、相談者が後を絶たない。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/0ce6d630-b725-4ef6-9a7c-8dc9c0eaef35/C_unitBT1-098.png
BT1-97,式神・鹿,ユニット,R,4,緑,4000,1000,ー,セイドウ/式神,次元の来訪者,【登場時】自分のレイキ1枚をレイキデッキの下に戻す。その後、≪レイキ追加1≫（自分のレイキデッキの上から1枚をレイキエリアに置く）。,鹿を模した形代で召喚した式神。パワーは低いが周囲の環境を操作する能力を持っている。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/88bfe7c1-85d0-4bca-89ce-9ac917b6fc36/R_unitBT1-097.png
BT1-96,フェアリーの蛹,ユニット,C,3,緑,1000,1000,緑2,メテオラス/フェアリー,次元の来訪者,【自分のターン開始時】このユニットが制圧中なら、このユニットを退場させることで、自分のデッキの上から1枚オープンする。それが緑のユニットカードならコストを支払わずに登場させる。残りは手札に加える。,フェアリーが繭を形成し完全変態を遂げる準備を行っている姿。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/e4eff749-9245-41f8-ad39-23954ea2d9eb/C_unitBT1-096.png
BT1-95,フェアリー,ユニット,C,3,緑,4000,1000,緑1,メテオラス/フェアリー,次元の来訪者,,フェアリーは昆虫の要素を身に宿す人型の種族。基本的には温厚な種族。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/16e0aa8b-ce26-4542-a300-db90a82b2294/C_unitBT1-095.png
BT1-94,式神・蝶,ユニット,C,3,緑,3000,1000,ー,セイドウ/式神,次元の来訪者,,蝶を模した形代で召喚した式神。使い勝手が良い。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/212750f9-27b5-4abd-af01-7e79aa7ce7ec/C_unitBT1-094.png
BT1-93,果実のウッドレイス,ユニット,C,3,緑,4000,1000,緑1,メテオラス/ウッドレイス,次元の来訪者,,ウッドレイスは動物と植物の中間の生物の総称であり、その姿は多種多様。故に収拾がつかず、無法地帯と化している。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/befa419b-cf9d-43e1-935d-672f8c928153/C_unitBT1-093.png
BT1-92,エルフのリーダー グムリン,ユニット,R,3,緑,2000,-,緑2,メテオラス/エルフ,次元の来訪者,【登場時】≪レイキ追加1≫（自分のレイキデッキの上から1枚をレイキエリアに置く）,「あのフェアリーの小娘め！余所者を味方につけよって！！そんなにもエルフを滅ぼしたいか！！」,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/f44eaba5-2e8c-4781-9848-1883a53adfdd/R_unitBT1-092.png
BT1-91,偵察するエルフ,ユニット,C,3,緑,4000,1000,緑1,メテオラス/エルフ,次元の来訪者,,とっても長寿なメテオラスの住人。他種族に対して排他的であり、ウッドレイスとフェアリーを見下している。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/45d58055-90af-463b-890c-d1c92608ee28/C_unitBT1-091.png
BT1-90,ヤーマ,ユニット,C,2,緑,3000,1000,緑1,ヤーマ/CNP,次元の来訪者,,プロローグ⑧:ホールを超えたCNPたちの目の前に広がったのは、まだ見ぬ新天地。彼らの冒険はここから始まる。,コメスケ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/fe51e334-18e3-49ed-b063-9e732a331ffb/C_unitBT1-090.png
BT1-89,オロチ,ユニット,C,2,緑,2000,2000,緑1,オロチ/CNP,次元の来訪者,,プロローグ⑦:このホールの先に神器を奪った犯人達がいるのであろうという確信を持ちCNPたちはゲートに飛び込んだ。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/1b013cde-4337-4f09-a930-17c6fa8e910b/C_unitBT1-089.png
BT1-88,保安部部長 ヘルナ　,サポーター,R,5,黄,-,-,黄3,ミッドガン/トゥルーリア学派/人間,次元の来訪者,【登場時】自分の手札から、黄のコスト4以下のイベントカード1枚をコストを支払わずに使用できる。 【自分のターン終了時】このサポーターをレストすることで、≪レイキ回復1≫（自分のレイキ1枚をアクティブにする）。,保安部は学派が持つ事実上の「警察兼軍隊」。ミッドガン内にレイキの反応が発生した事を確認し、トワたちを捜索している。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/213f7b6e-3a55-4981-b595-6b17c799e5bf/R_supportBT1-088.png
BT1-87,謎の少女,サポーター,RR,2,黄,-,-,黄2,ミッドガン/反学派/人間,次元の来訪者,【メイン】このサポーターをレストすることで、ターン終了まで、次に自分の手札から、イベントカードを使用するとき、支払う無色コスト-1。,トワとセツナに接触してきた謎の少女。異種族間コミュニケーション用翻訳機を持っており、それによりトワたちに協力を強制した。,コメスケ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/a94f2d34-88a1-4905-b783-f782163784f9/RR_supportBT1-087.png
BT1-86,奥義:トワとセツナの未来視,イベント,RR,5,黄,-,-,黄2,-,次元の来訪者,特徴に「トワ」/「セツナ」を持つ自分のユニットがアタックしている間、自分の手札から、このカードを使用するとき、支払う無色コスト-2。 【メイン】【コンバット】自分の手札1枚を自分のユニットが制圧している拠点のゲージの上に置く。,トワとセツナの未来を見通す力。 その目には何が映るのか。,株式会社アイラボ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/e82cd1bb-a4a9-4875-9c57-0a4de76a8f93/RR_eventBT1-086.png
BT1-85,奥義:テンシュの呪詛,イベント,R,4,黄,-,-,黄2,-,次元の来訪者,特徴に「セイドウ」を持つ自分のユニットがいる間、自分の手札から、このカードを使用するとき、支払う無色コスト-2。 【メイン】コスト5以下の相手のユニット1体を手札に戻す。,「ひれ伏せ」,小山内えのん,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/69990f32-ff2d-4f55-8092-f50fdd3d5c4f/R_eventBT1-085.png
BT1-84,情報の吟味,イベント,R,3,黄,-,-,黄1,-,次元の来訪者,【メイン】ターン終了まで、次に自分の手札から、ユニットカードを登場させるとき、支払う無色コスト-4。,「協力するならかくまってあげるよ。協力しないなら保安部に突き出すだけだけど」ほかに選択肢はないようだ。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/ffa5527b-4ab8-4a03-9173-00ed71d18871/R_eventBT1-084.png
BT1-83,怪しい？協力依頼,イベント,C,3,黄,-,-,黄1,-,次元の来訪者,【メイン】【コンバット】自分のデッキの上から5枚オープンする。その中のイベントカード1枚とサポーターカード1枚を手札に加える。残りはデッキの下に戻す。,謎の少女はトワ達を路地裏へと連れ込んだ。「ねぇ貴方たち、ここの人じゃないよね？『私たち』に協力してくれないかな？」,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/ffad2ecd-4dd0-4690-900a-06375a90cef2/C_eventBT1-083.png
BT1-82,到着！ミッドガン！,イベント,R,2,黄,-,-,黄1,-,次元の来訪者,【メイン】【コンバット】自分のデッキの上から5枚オープンする。その中のユニットカード1枚を手札に加える。残りはデッキの下に戻す。,発展と研究の都市ミッドガン。セイドウが侵略を試みているものの、強力な「機兵」たちによって戦況は好調らしい。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/389294a3-83f2-4209-9aa8-a050cced9ed5/R_eventBT1-082.png
BT1-81,裏取引,イベント,C,2,黄,-,-,黄1,-,次元の来訪者,【コンバット】お互いは≪1ドロー≫（デッキからカードを1枚引く）。その後、相手の助太刀1枚をデッキの上に戻す。,「助かるよ」,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/3d7a55f2-2e25-4507-b2a2-43204628afab/C_eventBT1-081.png
BT1-80,レイキの研究,イベント,C,1,黄,-,-,黄1,-,次元の来訪者,【メイン】このターン終了時、≪レイキ回復3≫（自分のレイキ3枚までをアクティブにする）。,「何度みても驚嘆するよ…こんなにも超常的で優れたエネルギーがあるなんて…」,小山内えのん,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/c9f1bce6-ce58-4eb5-851b-029b87ea1128/C_eventBT1-080.png
BT1-79,徹底抗戦,イベント,C,1,黄,-,-,黄1,-,次元の来訪者,【コンバット】コスト3以下の相手のユニット1体を手札に戻す。,報道：「本日も我が軍はセイドウの撃退に成功！！我々の勝利は目前です！！」,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/37f449a9-9217-4425-b638-148cc856ec5c/C_eventBT1-079.png
BT1-78,トワ,ユニット,RRR,8,黄,8000,-,黄4,トワ/CNP,次元の来訪者,≪ゲージバーン≫（このユニットが減らしたゲージは破棄される） 【登場時】コスト6以下の相手のユニット1体を手札に戻す。,トワは、好奇心旺盛で行動的。失敗を恐れずに挑戦することで、仲間を勇気づける存在。,オノダイサム,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/cbbe1a12-6939-4fff-9e2e-82e6ff90b231/RRR_unitBT1-078.png
BT1-77,セツナ,ユニット,RRR,6,黄,6000,2000,黄3,セツナ/CNP,次元の来訪者,【登場時】自分のデッキの上から5枚オープンする。その中のイベントカード1枚を手札に加える。残りはデッキの下に戻す。 【自分のターン終了時】≪レイキ回復2≫（自分のレイキ2枚までをアクティブにする）,口数は少ないが思慮深く、本質を見抜く力を持つ白猫のセツナ。双子のトワの良き理解者でもある。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/0234ac72-74c9-471e-a7c5-47744a9efc5b/RRR_unitBT1-077.png
BT1-76,イザナミ・試験機,ユニット,R,6,黄,9000,-,黄4,ミッドガン/トゥルーリア学派/機械,次元の来訪者,【相手のターン開始時】アクティブ状態の自分のレイキがないなら、このユニットを退場させる。,学派が開発したレイキを動力に駆動する対セイドウ用新型機兵試験機。,オノダイサム,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/5871b6aa-881b-4a09-b9c2-fdb1718dd353/R_unitBT1-076.png
BT1-75,テンシュ,ユニット,RR,5,黄,5000,1000,黄1,セイドウ/テンシュ,次元の来訪者,【自分のターン終了時】このユニットが制圧中なら、コスト4以下の相手のユニット1体を手札に戻す。,セイドウの幹部。次元を超越する能力など様々な強力な術を行使できる。目的は不明だが「三種の神器」を強奪しこの世界にきた。,コメスケ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/c0e2fb25-68fd-4a83-b5ac-5b9c5e65344e/RR_unitBT1-075.png
BT1-74,高機動型大型機兵,ユニット,R,5,黄,5000,1000,黄3,ミッドガン/トゥルーリア学派/機械,次元の来訪者,【登場時】コスト2以下の相手のユニット1体を手札に戻す。,学派の研究は非常に過激で事故等の犠牲者も後を絶たないが、その名誉の死による恩恵を享受している民たちは学派を批判できない。,オノダイサム,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/6332934c-1195-4b80-bb45-066d6d37f14f/R_unitBT1-074.png
BT1-73,機械ペット・熊,ユニット,C,5,黄,6000,1000,黄1,ミッドガン/機械/アニマル,次元の来訪者,,動物は学派に厳重に管理されており、ミッドガンにはいない為、機械ペットなるものが流行している。,小山内えのん,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/da5da4fd-3009-4a2d-9654-77e565024a92/C_unitBT1-073.png
BT1-72,大型機兵,ユニット,C,5,黄,6000,1000,黄1,ミッドガン/トゥルーリア学派/機械,次元の来訪者,,学派が表面上は「防衛用兵器」として制作していた巨大な機兵。,小山内えのん,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/e9f1713a-98d5-4f0e-ae68-68725241d4fd/C_unitBT1-072.png
BT1-71,式神・狐,ユニット,C,4,黄,4000,1000,ー,セイドウ/式神,次元の来訪者,【自分のターン終了時】このユニットが制圧中なら、≪レイキ回復1≫（自分のレイキ1枚をアクティブにする）。,狐を模した形代で召喚した式神。テンシュのお気に入り。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/273a3db8-8761-47a7-85da-e326f5afa111/C_unitBT1-071.png
BT1-70,クオンタム,ユニット,RR,4,黄,4000,1000,黄2,トワ/CNP,次元の来訪者,≪ゲージバーン≫（このユニットが減らしたゲージは破棄される）,黒猫のトワが量子の力を身に纏った姿。全身から発する光で相手を惑わせる。,株式会社アイラボ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/ececcb65-5f94-4be5-862e-95805e3625da/RR_unitBT1-070.png
BT1-69,機械ペット・犬,ユニット,C,4,黄,5000,1000,黄1,ミッドガン/機械/アニマル,次元の来訪者,,「野良猫！？保安部に通報しなきゃ！！」トワとセツナは駆け出した。どうやらこの都市では野良猫は通報対象らしい。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/296a90fb-f69d-4924-9eb7-b1c8f065b1e3/C_unitBT1-069.png
BT1-68,機械人,ユニット,C,4,黄,5000,1000,黄1,ミッドガン/人間/機械,次元の来訪者,,ミッドガンの高い技術力は機械すら人たらしめた。,株式会社アイラボ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/f4da2cf9-08dc-436d-9992-3b15860a9bfa/C_unitBT1-068.png
BT1-67,ミッドガンの市民,ユニット,C,3,黄,4000,1000,黄1,ミッドガン/人間,次元の来訪者,,ミッドガンの一般市民は、トゥルーリア学派がもたらす科学の恩恵を受け、不自由なく暮らしている。,株式会社アイラボ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/b8df3366-971c-4384-8121-3019cfe91c0b/C_unitBT1-067.png
BT1-66,マネキネコ,ユニット,RR,3,黄,3000,1000,黄2,セツナ/CNP,次元の来訪者,【アタック時】自分のデッキの上から2枚オープンする。その中のイベントカード1枚を手札に加える。残りはデッキの下に戻す。,黒猫のトワが、招き猫に変化した姿。仲間に勝利と幸福を呼び寄せる。,翠月,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/d7326b59-8ce1-49f3-a2b4-f416abe3481c/RR_unitBT1-066.png
BT1-65,負傷した反学派構成員,ユニット,C,3,黄,4000,1000,黄1,ミッドガン/反学派/人間,次元の来訪者,,技術発展のためならどんな犠牲も厭わない学派の思想を快く思わない者たちは、「反学派」として届かぬ声を挙げた。,株式会社アイラボ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/fe4adfbe-b806-4479-af8a-c1535ab5476a/C_unitBT1-065.png
BT1-64,トゥルーリア学派総合研究長 ネハシーン,ユニット,R,3,黄,2000,-,黄2,ミッドガン/トゥルーリア学派/人間,次元の来訪者,【登場時】自分のデッキの上から3枚オープンする。その中の特徴に「トゥルーリア学派」を持つカード1枚を手札に加える。残りはデッキの下に戻す。,発展と研究が何よりも優先されるミッドガンでは、学ぶことが最も尊いとされ、「学派」は膨大な権力を持ち、事実上の政府である。,翠月,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/be9be78f-f45a-4517-a42a-1368489817d5/R_unitBT1-064.png
BT1-63,トゥルーリア学派の役員,ユニット,C,3,黄,4000,1000,黄1,ミッドガン/トゥルーリア学派/人間,次元の来訪者,,トゥルーリア学派は、最も効率的に科学を発展させるために設立された流派。その精神性が評価され、現在では主流となっている。,株式会社アイラボ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/4eec576c-8cac-48f9-8ec2-2f3c8f4a9ae6/C_unitBT1-063.png
BT1-62,トワ,ユニット,C,2,黄,2000,2000,黄1,トワ/CNP,次元の来訪者,,プロローグ⑥:「とにかくやばい」「怒られたくない」——様々な思いが交錯する中、手がかりを前に、できることは一つだった。,コメスケ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/3257436a-c2f1-4602-9a19-f8bbd6a65d79/C_unitBT1-062.png
BT1-61,セツナ,ユニット,C,2,黄,3000,1000,黄1,セツナ/CNP,次元の来訪者,,プロローグ⑤:CNPたちは慌て混乱した。三種の神器が無くなれば、儀式が成立しないどころか、大問題に発展しかねないからだ。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/43606cbf-4434-4e65-bcc8-fb00d527efe6/C_unitBT1-061.png
BT1-60,式神・兵隊,ユニット,C,2,黄,2000,1000,ー,セイドウ/式神,次元の来訪者,,最も効率よく召喚・動作するように調整された式神。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/70f50101-07db-4db3-9001-7dc9e6f3485e/C_unitBT1-060.png
BT1-59,キングオーガ オウドン,サポーター,R,6,赤,-,-,赤3,カグツチ/オーガ,次元の来訪者,【登場時】自分の手札から、赤のコスト5以下のユニットカード1枚をコストを支払わずに登場できる。 【メイン】このサポーターをレストすることで、≪1ドロー≫（デッキからカードを1枚引く）。その後、自分の手札1枚を破棄する。,オーガ族の王。あまり賢くないがオーガやドワーフたちのことを第一に考えており、守り神を討ってでも止めるために尽力している。,オノダイサム,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/59fe958e-a2f8-42e0-b5de-0fccc2c56c44/R_supportBT1-059.png
BT1-58,竜人の協力者 ツミカ,サポーター,RR,1,赤,-,-,赤1,カグツチ/竜人,次元の来訪者,【メイン】このサポーターをレストすることで、ターン終了まで、自分のユニット1体は「【アタック終了時】≪助太刀回収1≫（自分のトラッシュから、このバトルで助太刀に使用したユニットカード1枚を手札に戻せる）」の効果を得る。,内気な竜人。頭の回転の早さと他者の思惑を察する感度の高さから、マカミやナルカミの意図を汲んで、さりげなく導いていく。,コメスケ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/2eef537f-9428-4872-aebc-7b6f7e22bb3f/RR_supportBT1-058.png
BT1-57,奥義:マカミの爪撃,イベント,R,6,赤,-,-,赤2,-,次元の来訪者,特徴に「マカミ」を持つ自分のユニットがいる間、自分の手札から、このカードを使用するとき、支払う無色コスト-2。 【メイン】BP7000以下の相手のユニット1体を退場させる。,オオカミのマカミは、鉤爪を活かした連続攻撃が得意。,小山内えのん,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/0bd69853-17d1-45a5-995b-87627a940e57/R_eventBT1-057.png
BT1-56,圧倒的な戦力,イベント,R,6,赤,-,-,赤2,-,次元の来訪者,【コンバット】BP6000以下の相手のユニット1体を退場させる。,「セイドウがっ！！！なんぼのもんじゃ～～～っ！！！」,株式会社アイラボ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/98cedc32-3d36-4a85-8e49-fbb1018b5136/R_eventBT1-056.png
